text,label
had the worst dream abt some turd face ex ugh it wa awful,0
i posted on the self harm sub a to why you can just look at my profile and you ll see it amp x 00b have a great day everyone,1
not regularly but sometimes i experience an existential agony wash over me i am not special so i figure there are many others who feel like this hello fellow me s pre tldr maybe you can relate generally i am entirely alone with only exception being at work in an office environment and grocery shopping no friend per say the course of time swallowed those for year i had strived to achieve a normie appearance lifestyle to correct the year of abusive upbringing to my credit i am quite socially competent and financially self sufficient now but new acquaintance just don t click i figure most people have their circle worked out already and on my end i can t easily relate to inauthentic people there ha been positive relationship in my life where i experienced belonging but those each have ended negatively despite my at time to my detriment effort to make a relationship work disappointment fatigue ha accumulated to a point where i have unofficially given up my interest are vast yet spread far too thin i discover i veraciously learn about i try i fail i abandon this tends to be my cycle which additionally sediment guilt of failure rarely i will come across someone who ha those similar interest and is successfully branching into that field and i feel a kind of envy or i could have been like that feeling t h e n i remember that surviving in poisoned soil is hard enough let alone growing tall i expect a lot more of myself than wa logically possible given the circumstance in essence i can not determine if i am in a temporary plateau of development or if i am permanently stunted and will be in this grey area limbo for the rest of my day i take pride in being useful honest and finding answer and i think good karma ha gotten me a long way too hope you have a good day or better than mine atleast,1
simon felice is no longer playing with the felice brother i m not sure how i feel about that,0
nobody ever speaks to me now,0
moving moving moving keep those box moving rawhide think i ve gone delirious from moving,0
i don t mean just dating wise either i ve been rejected by my family friend and pretty much everyone else last month though i went out with a girl for v day and started dating her and very recently she said she wasn t interested in me anymore and today i found out she wa already dating another person this is the second time in a row i ve been cheated on and my suicidal thought are going crazy now i just need to type this out to calm myself down i hate this i just want someone to truly love me for once whether friend or family it feel like my whole existence wa just a mistake my life suck and i just want to die right now fuck,1
i m trying to think of the last time i wa genuinely bored i stay at home a lot but whenever i m not doing something and even when i m doing something i m fighting against my anxiety mentally and physically i almost can t remember the feeling of being totally neutral and looking for something to do just because almost everything i do is to reduce the feeling and effect of anxiety on my body if i watch tv it s to try and distract myself from the heart palpitation and other fun thing and to reduce anxiety eat because i know if i don t i ll feel more anxious eat junk food because i m trying to push through the anxious feeling telling me if i eat junk food i ll get sick or die post online or socialise because again i m trying to push through the feeling of anxiety i get from posting online or socialising my life is anxiety management either trying to reduce anxiety or expose myself to thing that make me anxious which feel like everything to try and reduce anxiety long term oh how i envy people who are just bored,1
ezuiequotes it s a constant positive mental attitude a way of looking on the bright side of a situation to carry with you an ideal of helping others if possible to do one s best in not falling into doubt or depression a sunny disposition is a discipline,1
my parent have never really cared about what i m doing online because they trust me to be safe plus i am a teenager so i know about internet safety and stuff which is good because i don t like my parent knowing what i do online and it not think in doing anything bad i just don t like my parent knowing i don t even want them to know what show i watch i don t know why this is but recently i ve started blocking my bedroom door with my chair my room is very small so all i have to do is wheel my chair back slightly to block it and when my mum come in she always asks me why i ve blocked my door and then she asks if it because i m watching naughty thing she doe always asks this in a joking way but it make me uncomfortable i just don t know how to tell her how uncomfortable it make me so any advice with telling her would help me a lot,1
